Player_name,Birth_year,State,class,Major contribution (ORIG),Number_of_ODIs_played
Shikhar Dhawan,05/12/85,Delhi,Class - I,Opening batsman,136
Rohit Sharma,30/04/87,Maharashtra,Class - I,Top-order batsman,224
K. L. Rahul,18/04/92,Karnataka,Class - I,Batsman,32
Virat Kohli,05/11/88,Delhi,Class - I,Captain/Top-order batsman,248
MS Dhoni,07/07/81,Jharkhand,Class - I,Captain/Wicketkeeper batsman,350
Kedar Jadhav,26/03/85,Maharashtra,Class - I,Batting allrounder,73
Vijay Shankar,26/01/91,Tamil Nadu,Class - I,Batsman,12
Dinesh Karthik,01/06/85,Tamil Nadu,Class - I,Wicketkeeper batsman,94
Hardik Pandya,11/10/93,Gujarat,Class - I,Allrounder,54
Ravindra Jadeja,06/12/88,Gujarat,Class - I,Allrounder,165
Bhuvneshwar Kumar,05/02/90,Uttar Pradesh,Class - I,Bowler,114
Mohammed Shami,03/09/90,Uttar Pradesh,Class - I,Bowler,77
Jasprit Bumrah,06/12/93,Gujarat,Class - I,Bowler,64
Kuldeep Yadav,14/12/94,Uttar Pradesh,Class - I,Bowler,60
Yuzvendra Chahal,23/07/90,Haryana,Class - I,Bowler,52
Ravichandran Ashwin,17/09/86,Tamil Nadu,Class - I,Bowling allrounder,111
Stuart Binny,03/06/84,Karnataka,Class - I,Allrounder,14
Axar Patel,20/01/94,Gujarat,Class - I,Bowling allrounder,38
Ajinkya Rahane,06/06/88,Maharashtra,Class - I,Top-order batsman,90
Suresh Raina,27/11/86,Uttar Pradesh,Class - II,Middle-order batsman,226
Ambati Rayudu,23/09/85,Andhra Pradesh,Class - I,Middle-order batsman,55
Mohit Sharma,18/09/88,Haryana,Class - I,Bowler,26
Umesh Yadav,25/10/87,Maharashtra,Class - I,Bowler,75
Ishant Sharma,02/09/88,Delhi,Class - I,Bowler,80
Yuvraj Singh,12/12/81,Chandigarh,Class - I,Middle-order batsman,304
Manish Pandey,10/09/89,Uttarakhand,Class - III,Top-order batsman,26
Amit Mishra,24/11/82,Delhi,Class - I,Bowler,36
Irfan Pathan,27/10/84,Gujarat,Class - I,Allrounder,120
Murali Vijay,01/04/84,Tamil Nadu,Class - I,Opening batsman,17
Vinay Kumar,12/02/84,Karnataka,Class - I,Bowler,31
